sample,Site,Date,Watershed,WsAreaSqKm,tt_hr,streamorde,COMID,q_daily_cms,q_daily_mm,Twat_degC,DOC_mgL
RC2_0119,T06,2021-10-07,Yakima,206.2035,24.25156446,3,78017752,1.223424,5.933090369465117e-6,5.8,0.81
RC2_0120,T05P,2021-10-07,Yakima,383.8644,63.73172374,4,78018214,20.20632,5.263921322216908e-5,6.83,1.04
RC2_0121,T42,2021-10-07,Yakima,2465.9001,34.07471397,6,78017687,1.16112,4.7087065692563944e-7,11.83,1.15
RC2_0122,T03,2021-10-07,Yakima,8977.0689,120.3169375,7,78018211,50.4096,5.615374078280718e-6,11.33,1.75
RC2_0123,T02,2021-10-07,Yakima,13461.462,184.0657571,7,78018972,36.5328,2.7138805576987108e-6,15.3,1.89
RC2_0124,T07,2021-10-07,Yakima,14144.7249,215.1353953,7,78018963,25.65792,1.8139568059043695e-6,13.7,1.79
RC2_0125,T06,2021-10-13,Yakima,206.2035,24.41130589,3,78017752,1.158288,5.6172082433130385e-6,5.17,0.47
RC2_0126,T05P,2021-10-13,Yakima,383.8644,64.19510306,4,78018214,19.022544,4.955537424152904e-5,5.83,0.8
RC2_0127,T42,2021-10-13,Yakima,2465.9001,33.97632224,6,78017687,1.18944,4.823553070945576e-7,10.43,0.95
RC2_0128,T03,2021-10-13,Yakima,8977.0689,120.8130242,7,78018211,48.7104,5.42609180597912e-6,9.63,1.4
RC2_0129,T02,2021-10-13,Yakima,13461.462,184.4112111,7,78018972,35.9664,2.6718048901374905e-6,11.17,1.59
RC2_0130,T07,2021-10-13,Yakima,14144.7249,215.5088342,7,78018963,25.28976,1.7879287281154547e-6,11.63,1.73
RC2_0131,T06,2021-10-21,Yakima,206.2035,24.38281275,3,78017752,1.169616,5.6721442652525296e-6,6.73,0.56
RC2_0132,T05P,2021-10-21,Yakima,383.8644,70.18474928,4,78018214,9.045408,2.356407106259398e-5,7.5,0.77
RC2_0133,T42,2021-10-21,Yakima,2465.9001,34.00556188,6,78017687,1.180944,4.789099120438821e-7,9.07,0.92
RC2_0134,T03,2021-10-21,Yakima,8977.0689,123.0115139,7,78018211,41.9136,4.668962716772732e-6,10.23,1.31
RC2_0135,T02,2021-10-21,Yakima,13461.462,173.611085,7,78018972,59.472,4.4179450939281335e-6,11.8,1.46
RC2_0136,T07,2021-10-21,Yakima,14144.7249,193.1990095,7,78018963,62.8704,4.44479482241468e-6,12.07,1.68
RC2_0137,T06,2021-10-28,Yakima,206.2035,22.14555934,3,78017752,2.608272,1.264901905156799e-5,7.6,0.87
RC2_0138,T05P,2021-10-28,Yakima,383.8644,67.91614508,4,78018214,11.8944,3.098594191073723e-5,8.03,1.52
RC2_0139,T42,2021-10-28,Yakima,2465.9001,32.18844762,6,78017687,1.866288,7.568384461316985e-7,8.67,1.03
RC2_0140,T03,2021-10-28,Yakima,8977.0689,122.1431767,7,78018211,44.4624,4.952886125225128e-6,9.8,1.26
RC2_0141,T02,2021-10-28,Yakima,13461.462,174.9475317,7,78018972,55.7904,4.144453254780201e-6,11.2,1.45
RC2_0142,T07,2021-10-28,Yakima,14144.7249,194.8277482,7,78018963,58.6224,4.144470847927202e-6,11.23,1.54
RC2_0143,T06,2021-11-04,Yakima,206.2035,21.00668316,3,78017752,4.04976,1.963962784336832e-5,6.53,0.89
RC2_0144,T05P,2021-11-04,Yakima,383.8644,66.11260952,4,78018214,14.884992,3.877669301972259e-5,6.73,1.33
RC2_0145,T42,2021-11-04,Yakima,2465.9001,32.00581688,6,78017687,1.956912,7.935893266722363e-7,7.73,0.98
RC2_0146,T03,2021-11-04,Yakima,8977.0689,121.5054918,7,78018211,46.4448,5.173715442910324e-6,8.83,1.27
RC2_0147,T02,2021-11-04,Yakima,13461.462,174.9475317,7,78018972,55.7904,4.144453254780201e-6,9,1.31
RC2_0148,T07,2021-11-04,Yakima,14144.7249,194.9409985,7,78018963,58.3392,4.124449249628037e-6,8.73,1.39
RC2_0149,T06,2021-11-18,Yakima,206.2035,18.57855109,3,78017752,11.27136,5.466134182979435e-5,3.4,0.87
RC2_0150,T05P,2021-11-18,Yakima,383.8644,54.06132236,4,78018214,79.627344,2.0743612588195208e-4,2.83,1.63
RC2_0151,T42,2021-11-18,Yakima,2465.9001,26.46842342,6,78017687,9.52968,3.86458478184092e-6,4.47,1.43
RC2_0152,T03,2021-11-18,Yakima,8977.0689,105.3383515,7,78018211,152.6448,1.700385746176015e-5,4.7,1.48
RC2_0153,T02,2021-11-18,Yakima,13461.462,148.1360024,7,78018972,223.1616,1.6577813019120804e-5,5.7,2.01
RC2_0154,T07,2021-11-18,Yakima,14144.7249,165.3317974,7,78018963,230.2416,1.6277559417221327e-5,6.13,2.01
