Name,Mass,WROL2019_084,WROL2019_078
C4H6O1S1,102.013937,14,20
C4H6O2,86.03678,168,242
C4H6O4,118.02661,101,170
C4H7N1,69.057849,21,30
C4H7N1O1,85.05273808,28,40
C4H7N1O1S1,117.024836,8,4
C4H7N1O2S1,133.019751,3,1
C4H7O3N1,117.042594,25,26
C4H8,56.06258507,208,301
C4H8O_1,40.067685,154,260
C4H8O1,72.05751506,203,297
C4H8O1N2,100.063663,7,9
C4H8O2,88.05242153,160,250
C4H8O3,104.047345,129,201
C4H8O4,120.0423337,42,100
C4H8O5,136.037175,62,116
C4H9N1,71.073499,25,39
C4H9N1O_2,39.083669,14,16
C4H9N1O2S1,135.035401,4,0
C4H9O1N1,87.068414,23,30
C4H9O2P1S1,152.00609,1,4
C4H9O3P1,136.028933,1,3
C4H9O6P1,184.013678,5,6
C4H9O7P1,200.008593,2,0
C4O,63.99494513,112,196
C4O2,66.03170709,93,165
C4O3,95.984745,124,206
C4O8,175.95932,27,63
C50H80,680.626,0,0
C51H80O22,1044.51413,0,0
C56H75N15O10o1,1164.5154,0,0
C59H83N16O13P1o1,1301.5395,0,0
C5H_6O15,293.876775,0,1
C5H10N1O6P1,211.024577,2,1
C5H10N2O1,114.079313,3,3
C5H10N4,126.090546,0,0
C5H10O1,86.073165,136,228
C5H10O10P2,291.974926,0,1
C5H10O2,102.06808,132,218
C5H10O3N1P1,163.039832,1,1
C5H10O4,134.05791,97,156
C5H10O5,150.052825,56,111
C5H10O7P1,213.016418,0,3
C5H11N1O1,101.084064,21,27
C5H11O13P3,371.941259,0,0
C5H11O8P1,230.019158,2,2
C5H12Cl1O1N2P1,182.0376,0,2
C5H12N1,86.096974,0,4
C5H12N1O3P1,165.055482,1,0
C5H12N2S2,164.044192,1,1
C5H12N4O_1,112.111281,0,0
C5H12O1N2,116.094963,2,2
C5H12O9P2,277.995661,1,0
C5H13N1O2P1,150.068392,0,9
C5H13N1O3P1,166.063307,1,17
C5H13O_1N1,71.109884,9,15
C5H1N1O3,122.995644,12,22
C5H2N4,118.027946,0,1
C5H2N4S1,150.000018,0,2
C5H2N5O_4P_1,37.0776,0,7
C5H2O,78.01062579,71,123
C5H2O_1N4,102.033031,0,0
C5H2O1N4,134.022861,0,0
C5H2O2,94.00548,120,203
C5H2O3,110.0004544,79,151
C5H3Cl1O_2,66.0025,16,27
C5H3Cl1O2,129.9822,23,39
C5H3N1,77.026549,13,20
C5H3N1O1,93.021464,14,23
C5H3N5,133.038845,1,1
C5H3N5O_1,117.04393,0,0
C5H3O2N1,109.016379,25,28
C5H4,64.0313,129,221
C5H4N1,78.034374,0,3
C5H4N7O13P3S1,494.880074,0,0
C5H4O1,80.026215,137,225
C5H4O1N4,136.038511,0,0
C5H4O2,96.02113,127,218
C5H4O3,112.016045,124,193
C5H4O4,128.01096,117,206
C5H5N_1O1,67.030966,32,39
C5H5N1,79.042199,19,28
C5H5N1O1,95.037114,19,23
C5H5N5O_1,119.05958,0,0
C5H5O3N1,127.026944,16,27
C5H6,66.04693481,151,233
C5H6N2O2,126.042928,1,1
C5H6O1,82.04187235,164,236
C5H6O1N2,110.048013,12,6
C5H6O2,98.03678,147,235
C5H6O3,114.031695,151,229
C5H6O4,130.02661,108,186
C5H7N_1,53.051701,27,30
C5H7N1,81.057849,11,22
C5H7N1O2,113.047679,23,36
C5H7N1O4,145.037509,25,34
C5H7N3O_1,93.069082,0,0
C5H7O3,115.03952,1,2
C5H7O4P1S1,193.98027,0,1
C5H8,68.0626,144,239
C5H8N2O2S1,160.03065,1,2
C5H8N2O3,144.053493,3,4
C5H8N3O_2,78.081992,0,0
C5H8N7O14P3S1,514.906289,0,0
C5H8O_1,52.067685,125,205
C5H8O1,84.057515,146,236
C5H8O1S1,116.029587,12,23
C5H8O2,100.05243,148,228
C5H8O3,116.047345,124,194
C5H9N1,83.073499,9,23
C5H9N1O2,115.063329,22,27
C5H9N1O3,131.058244,22,29
C5H9O4,133.050085,0,1
C5H9O7P1,212.008593,2,3
C5O5H8,148.037175,59,123
C60H64O28,1232.35842,0,0
C60H98O6N1P1,959.713177,0,0
